Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Power (dB)	Peak Power (dB)	Begin Clock Time	End Clock Time	UTM_X	UTM_Y	BASIN	LAKE	Playback#	NOTES	Dist_to_SM
1	Spectrogram 1	1	1517.666576	1531.834729	2597.9	4948.5	95.6	95.6	04:36.7	04:50.8	278545	4066274	CENTER	1	1		0
2	Spectrogram 1	1	1723.570488	1738.49974	2927.8	4659.8	49.1	49.1	08:02.6	08:17.5	378585	4066266	CENTER	1	2		40.8
3	Spectrogram 1	1	1813.951112	1828.997456	2350.5	4989.7	40.3	40.3	09:33.0	09:48.0	378683	4066241	CENTER	1	3		66.7
4	Spectrogram 1	1	1913.395234	1929.671046	2639.2	5525.8	36.5	36.5	11:12.4	11:28.7	378634	4066223	CENTER	1	4		102.6
5	Spectrogram 1	1	2272.975165	2287.494594	2845.4	4742.3	63.6	63.6	17:12.0	17:26.5	378494	4066296	CENTER	1	5		55.54
6	Spectrogram 1	1	2416.143994	2430.897608	2927.8	4989.7	65.4	65.4	19:35.1	19:49.9	378523	4066330	CENTER	1	6		60.2
7	Spectrogram 1	1	2516.602493	2530.829191	2845.4	4989.7	63.5	63.5	21:15.6	21:29.8	378563	4066353	CENTER	1	7		81
8	Spectrogram 1	1	2674.218364	2688.737793	2597.9	4866	53.5	53.5	23:53.2	24:07.7	378614	4066378	CENTER	1	8		124.8
9	Spectrogram 1	1	2762.535063	2776.351939	2927.8	4701	58.2	58.2	25:21.5	25:35.4	378657	4066350	CENTER	1	9		135.4
10	Spectrogram 1	1	2896.335744	2910.738081	2721.6	4824.7	53.5	53.5	27:35.3	27:49.7	378713	4066330	CENTER	1	10		177.1
11	Spectrogram 1	1	2993.027965	3007.254664	2804.1	4783.5	46.4	46.4	29:12.0	29:26.3	378763	4066300	CENTER	1	11		219.5
12	Spectrogram 1	1	3090.15351	3106.312229	3010.3	5319.6	36	36	30:49.2	31:05.3	378753	4066245	CENTER	1	12		210
13	Spectrogram 1	1	3178.975614	3193.670681	2804.1	4742.3	39.7	39.7	32:18.0	32:32.7	378718	4066211	CENTER	1	13	"inaudible, not exactly when played"	184.1
14	Spectrogram 1	1	3432.292131	3450.499964	2845.4	4948.5	35.7	35.7	36:31.3	36:49.5	378666	4066212	CENTER	1	14	"inaudible, not exactly when played"	136
