Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Power (dB)	Peak Power (dB)	Begin Clock Time	End Clock Time	Freq 5% (Hz)	Freq 95% (Hz)	UTM_X	UTM_Y	BASIN	LAKE	Playback#	Dist_to_Mic
1	Spectrogram 1	1	983.2327981	997.2838585	1849.3	6123.3	103	103	17:28.2	17:42.3	3515.6	4218.8	379094	4065256	CENTER	2	1	0
2	Spectrogram 1	1	1094.42799	1109.123057	2671.2	4931.5	66.9	66.9	19:19.4	19:34.1	3515.6	4265.6	379130	4065223	CENTER	2	2	60.9
3	Spectrogram 1	1	1188.360563	1202.938538	2671.2	5137	57.5	57.5	20:53.4	21:07.9	3046.9	4640.6	379158	4065187	CENTER	2	3	117.6
4	Spectrogram 1	1	1271.734884	1286.547043	2917.8	4931.5	48.6	48.6	22:16.7	22:31.5	3046.9	4828.1	379186	4065145	CENTER	2	4	180.1
5	Spectrogram 1	1	1443.944195	1457.761071	2712.3	4726	44.2	44.2	25:08.9	25:22.8	2812.5	4593.8	379212	4065093	CENTER	2	5	251.5
23	Spectrogram 1	1	1885.751487	1901.090561	1895.3	4315.5	38.6	38.6	32:30.8	32:46.1	2015.6	4218.8	379245	4065057	CENTER	2	6	312.2
6	Spectrogram 1	1	2005.51242	2017.748551	1972.6	4520.5	43.6	43.6	34:30.5	34:42.7	2109.4	4406.2	379250	4065006	CENTER	2	7	368.4
7	Spectrogram 1	1	2096.494563	2109.081972	1520.5	4356.2	45.6	45.6	36:01.5	36:14.1	1593.8	4171.9	379214	4064979	CENTER	2	8	377.1
8	Spectrogram 1	1	2191.690436	2205.038943	1938.1	4329.9	42.9	42.9	37:36.7	37:50.0	2062.5	4218.8	379162	4064987	CENTER	2	9	347.2
9	Spectrogram 1	1	2285.102666	2296.636245	2433	4866	43.3	43.3	39:10.1	39:21.6	2531.2	4734.4	379125	4065022	CENTER	2	10	295.5
10	Spectrogram 1	1	2377.704103	2390.232965	2309.3	5278.4	45.4	45.4	40:42.7	40:55.2	2437.5	5109.4	379072	4065020	CENTER	2	11	296.7
11	Spectrogram 1	1	2499.915565	2514.025172	2680.4	7051.5	38.1	38.1	42:44.9	42:59.0	2906.2	6843.8	379030	4065007	CENTER	2	12	321.7
12	Spectrogram 1	1	2649.027091	2662.96106	2185.6	5567	46.5	46.5	45:14.0	45:28.0	2343.8	5343.8	378991	4065027	CENTER	2	13	314.1
13	Spectrogram 1	1	2765.153675	2766.324597	2969.1	5195.9	39.3	39.3	47:10.2	47:11.3	3093.8	5062.5	378957	4065067	CENTER	2	14	291.8
14	Spectrogram 1	1	2851.294064	2852.728443	3216.5	5072.2	35.8	35.8	48:36.3	48:37.7	3281.2	4968.8	378925	4065098	CENTER	2	15	288.9
15	Spectrogram 1	1	2949.720112	2961.04878	2515.5	5154.6	42.4	42.4	50:14.7	50:26.0	2625	5015.6	378906	4065141	CENTER	2	16	275
16	Spectrogram 1	1	3068.410167	3081.905039	2680.4	5443.3	53	53	52:13.4	52:26.9	2812.5	5296.9	378885	4065184	CENTER	2	17	275.67
17	Spectrogram 1	1	3158.634073	3171.748396	2597.9	5237.1	45.3	45.3	53:43.6	53:56.7	2718.8	5109.4	378860	4065240	CENTER	2	18	292.4
18	Spectrogram 1	1	3411.773186	3425.47297	2350.5	5443.3	47.5	47.5	57:56.8	58:10.5	2531.2	5296.9	378864	4065275	CENTER	2	19	287.6
19	Spectrogram 1	1	3573.117787	3587.490851	2391.8	5402.1	48.4	48.4	00:38.1	00:52.5	2578.1	5250	378933	4065323	CENTER	2	20	217.5
